Chapter,Country,Ratification,Treaty,Signature
Human Rights,Colombia,28 Jan 1991,"Convention on the Rights of the Child.   New York, 20 November 1989",26 Jan 1990
Human Rights,Comoros,22 Jun 1993,"Convention on the Rights of the Child.   New York, 20 November 1989",30 Sep 1990
Human Rights,Congo,14 Oct 1993 a,"Convention on the Rights of the Child.   New York, 20 November 1989",
Human Rights,Cook Islands,6 Jun 1997 a,"Convention on the Rights of the Child.   New York, 20 November 1989",
Human Rights,Costa Rica,21 Aug 1990,"Convention on the Rights of the Child.   New York, 20 November 1989",26 Jan 1990
Human Rights,Côte d'Ivoire,4 Feb 1991,"Convention on the Rights of the Child.   New York, 20 November 1989",26 Jan 1990
Human Rights,Croatia,12 Oct 1992 d,"Convention on the Rights of the Child.   New York, 20 November 1989",
Human Rights,Cuba,21 Aug 1991,"Convention on the Rights of the Child.   New York, 20 November 1989",26 Jan 1990
Human Rights,Cyprus,7 Feb 1991,"Convention on the Rights of the Child.   New York, 20 November 1989",5 Oct 1990
Human Rights,Czech Republic,22 Feb 1993 d,"Convention on the Rights of the Child.   New York, 20 November 1989",
Human Rights,Democratic People's Republic of Korea,21 Sep 1990,"Convention on the Rights of the Child.   New York, 20 November 1989",23 Aug 1990
Human Rights,Democratic Republic of the Congo,27 Sep 1990,"Convention on the Rights of the Child.   New York, 20 November 1989",20 Mar 1990
Human Rights,Denmark,19 Jul 1991,"Convention on the Rights of the Child.   New York, 20 November 1989",26 Jan 1990
Human Rights,Djibouti,6 Dec 1990,"Convention on the Rights of the Child.   New York, 20 November 1989",30 Sep 1990
Human Rights,Dominica,13 Mar 1991,"Convention on the Rights of the Child.   New York, 20 November 1989",26 Jan 1990
Human Rights,Dominican Republic,11 Jun 1991,"Convention on the Rights of the Child.   New York, 20 November 1989",8 Aug 1990
Human Rights,Ecuador,23 Mar 1990,"Convention on the Rights of the Child.   New York, 20 November 1989",26 Jan 1990
Human Rights,Egypt,6 Jul 1990,"Convention on the Rights of the Child.   New York, 20 November 1989",5 Feb 1990
Human Rights,El Salvador,10 Jul 1990,"Convention on the Rights of the Child.   New York, 20 November 1989",26 Jan 1990
Human Rights,Equatorial Guinea,15 Jun 1992 a,"Convention on the Rights of the Child.   New York, 20 November 1989",
Human Rights,Eritrea,3 Aug 1994,"Convention on the Rights of the Child.   New York, 20 November 1989",20 Dec 1993
Human Rights,Estonia,21 Oct 1991 a,"Convention on the Rights of the Child.   New York, 20 November 1989",
Human Rights,Ethiopia,14 May 1991 a,"Convention on the Rights of the Child.   New York, 20 November 1989",
Human Rights,Fiji,13 Aug 1993,"Convention on the Rights of the Child.   New York, 20 November 1989",2 Jul 1993
Human Rights,Finland,20 Jun 1991,"Convention on the Rights of the Child.   New York, 20 November 1989",26 Jan 1990
Human Rights,France,7 Aug 1990,"Convention on the Rights of the Child.   New York, 20 November 1989",26 Jan 1990
Human Rights,Gabon,9 Feb 1994,"Convention on the Rights of the Child.   New York, 20 November 1989",26 Jan 1990
Human Rights,Gambia,8 Aug 1990,"Convention on the Rights of the Child.   New York, 20 November 1989",5 Feb 1990
Human Rights,Georgia,2 Jun 1994 a,"Convention on the Rights of the Child.   New York, 20 November 1989",
Human Rights,Germany,6 Mar 1992,"Convention on the Rights of the Child.   New York, 20 November 1989",26 Jan 1990
